class,precision,recall,f1-score,support
Apple___Apple_scab,0.972972972972973,0.8571428571428571,0.9113924050632911,126.0
Apple___Black_rot,0.9538461538461539,1.0,0.9763779527559056,124.0
Apple___Cedar_apple_rust,1.0,0.8545454545454545,0.9215686274509803,55.0
Apple___healthy,0.9550898203592815,0.9696048632218845,0.9622926093514329,329.0
Blueberry___healthy,0.9966777408637874,1.0,0.9983361064891847,300.0
Cherry_(including_sour)___Powdery_mildew,1.0,0.9904761904761905,0.9952153110047847,210.0
Cherry_(including_sour)___healthy,0.9710982658959537,0.9882352941176471,0.9795918367346939,170.0
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.9135802469135802,0.7254901960784313,0.8087431693989071,102.0
Corn_(maize)___Common_rust_,0.99581589958159,1.0,0.9979035639412998,238.0
Corn_(maize)___Northern_Leaf_Blight,0.8721461187214612,0.9695431472081218,0.9182692307692307,197.0
Corn_(maize)___healthy,0.9956896551724138,0.9956896551724138,0.9956896551724138,232.0
Grape___Black_rot,0.957983193277311,0.9661016949152542,0.9620253164556962,236.0
Grape___Esca_(Black_Measles),0.9743589743589743,0.9637681159420289,0.9690346083788707,276.0
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0.9906976744186047,0.9906976744186047,0.9906976744186047,215.0
Grape___healthy,1.0,0.9880952380952381,0.9940119760479041,84.0
Orange___Haunglongbing_(Citrus_greening),0.9972826086956522,1.0,0.998639455782313,1101.0
Peach___Bacterial_spot,0.9723404255319149,0.9956427015250545,0.9838536060279871,459.0
Peach___healthy,0.9726027397260274,0.9861111111111112,0.9793103448275862,72.0
"Pepper,_bell___Bacterial_spot",0.919431279620853,0.9748743718592965,0.9463414634146341,199.0
"Pepper,_bell___healthy",0.9928825622775801,0.9457627118644067,0.96875,295.0
Potato___Early_blight,0.9512195121951219,0.975,0.9629629629629629,200.0
Potato___Late_blight,0.9560975609756097,0.98,0.9679012345679012,200.0
Potato___healthy,0.875,0.9333333333333333,0.9032258064516129,30.0
Raspberry___healthy,1.0,0.9864864864864865,0.9931972789115646,74.0
Soybean___healthy,0.9835271317829457,0.9970530451866405,0.9902439024390244,1018.0
Squash___Powdery_mildew,1.0,1.0,1.0,367.0
Strawberry___Leaf_scorch,0.990909090909091,0.9864253393665159,0.9886621315192744,221.0
Strawberry___healthy,0.9891304347826086,1.0,0.994535519125683,91.0
Tomato___Bacterial_spot,0.9251700680272109,0.96,0.9422632794457275,425.0
Tomato___Early_blight,0.9739130434782609,0.56,0.7111111111111111,200.0
Tomato___Late_blight,0.9238578680203046,0.9553805774278216,0.9393548387096774,381.0
Tomato___Leaf_Mold,0.936046511627907,0.8473684210526315,0.8895027624309392,190.0
Tomato___Septoria_leaf_spot,0.9327217125382263,0.8615819209039548,0.895741556534508,354.0
Tomato___Spider_mites Two-spotted_spider_mite,0.8422459893048129,0.9402985074626866,0.8885754583921015,335.0
Tomato___Target_Spot,0.7948717948717948,0.775,0.7848101265822784,280.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.9896810506566605,0.9850606909430439,0.9873654656059897,1071.0
Tomato___Tomato_mosaic_virus,0.9523809523809523,0.8108108108108109,0.8759124087591241,74.0
Tomato___healthy,0.8373333333333334,0.9874213836477987,0.9062049062049062,318.0
macro avg,0.954173747029446,0.9395526787977823,0.9442004121905292,10849.0
weighted avg,0.9593292767479015,0.9580606507512213,0.9569716053156639,10849.0
